Name,Year,Date,Opposite,Score,Run,Earnedrun,Plateappear,Atbats,Hit,Double,Triple,HR,BB,Intentional_BB,HBP,SO,Pitches,AVG,OBP,OPS,ERA,RE24,WPA,Decision,Interval,Started,WHIP,Innings
임기영,2017,03-31,@삼성,W 7:2,1,1,4,4,1,0,0,1,0,0,0,0,13,0.250,0.250,1.250,9.00,-0.45,0.003,,7+일,0,1.00,1.0
임기영,2017,04-06,SK,W 6:4,1,1,22,21,4,0,0,0,0,0,0,2,93,0.200,0.182,0.372,2.57,2.33,0.242,,6일,1,0.71,6.0
임기영,2017,04-12,@두산,W 8:4,3,1,23,20,5,1,0,0,2,0,1,5,92,0.222,0.348,0.648,2.25,-0.62,-0.170,W,6일,1,1.00,5.0
임기영,2017,04-18,@kt,W 5:0,0,0,32,31,7,0,1,0,1,0,0,6,122,0.224,0.250,0.540,1.29,5.00,0.373,W SHO,6일,1,0.95,9.0
임기영,2017,04-25,삼성,W 11:3,3,3,26,25,8,3,0,1,1,0,0,4,103,0.248,0.346,0.906,2.00,0.33,0.022,W,7일,1,1.07,6.0
임기영,2017,04-30,NC,L 1:12,4,3,27,26,8,2,0,0,1,0,0,3,94,0.260,0.333,0.718,2.41,-0.37,-0.191,L,5일,1,1.13,6.2
임기영,2017,05-06,@롯데,W 3:0,0,0,26,25,7,0,0,0,0,0,1,3,94,0.263,0.308,0.588,1.99,3.89,0.385,W,6일,1,1.11,7.0
임기영,2017,05-12,@SK,L 2:8,4,1,24,23,5,1,0,0,1,0,0,5,94,0.257,0.250,0.511,1.94,0.70,-0.047,L,6일,1,1.10,5.2
임기영,2017,05-18,LG,W 9:4,1,1,25,24,9,1,0,0,0,0,1,5,101,0.271,0.400,0.817,1.89,2.33,0.091,W,6일,1,1.15,6.0
임기영,2017,05-24,@한화,W 9:3,1,1,27,26,5,0,0,1,0,0,1,2,96,0.262,0.222,0.530,1.82,2.49,0.161,W,6일,1,1.10,7.0
임기영,2017,05-30,@NC,W 9:7,3,3,24,21,6,4,0,0,3,0,0,2,93,0.264,0.375,0.851,2.07,0.33,0.021,,6일,1,1.13,6.0
임기영,2017,06-07,한화,W 7:0,0,0,33,31,5,0,0,0,2,0,0,7,116,0.253,0.212,0.373,1.82,5.00,0.382,W SHO,7+일,1,1.09,9.0
임기영,2017,07-11,NC,W 7:4,0,0,9,9,3,1,0,0,0,0,0,0,32,0.255,0.333,0.778,1.77,-0.11,0.026,,7+일,0,1.10,2.0
임기영,2017,07-13,NC,W 7:1,0,0,8,8,2,0,0,0,0,0,0,0,35,0.255,0.250,0.500,1.72,1.11,0.034,,2일,0,1.10,2.0
임기영,2017,07-19,@넥센,L 2:4,3,3,28,25,8,1,0,0,3,0,0,5,107,0.260,0.393,0.753,1.93,0.79,0.023,L,6일,1,1.15,5.2
임기영,2017,07-25,SK,W 11:10,6,6,24,21,9,1,0,1,1,0,2,1,82,0.271,0.500,1.119,2.45,-4.41,-0.334,,6일,1,1.22,4.0
임기영,2017,07-30,@두산,L 4:6,6,6,24,22,9,3,0,1,1,1,0,3,84,0.279,0.417,1.099,2.91,-3.69,-0.344,L,5일,1,1.26,4.2
임기영,2017,08-08,넥센,L 3:5,5,5,20,20,10,2,0,1,0,0,0,4,82,0.291,0.500,1.250,3.27,-3.25,-0.264,L,7+일,1,1.32,3.2
임기영,2017,09-09,삼성,W 6:5,1,1,18,17,3,1,0,0,1,0,0,3,90,0.286,0.222,0.458,3.20,1.78,0.160,,7+일,1,1.29,5.0
임기영,2017,09-15,@롯데,L 3:4,2,2,29,28,6,2,0,0,1,0,0,5,105,0.281,0.241,0.527,3.14,2.32,0.317,,6일,1,1.27,7.2
임기영,2017,09-20,SK,L 3:4,2,2,4,3,3,0,0,1,0,0,0,0,10,0.286,1.000,3.000,3.29,-2.17,-0.144,,5일,0,1.29,0.1
임기영,2017,09-23,kt,W 8:3,3,3,23,23,6,0,0,1,0,0,0,5,91,0.285,0.261,0.652,3.36,0.33,-0.042,W,3일,1,1.27,6.0
임기영,2017,10-01,@kt,L 2:20,5,5,17,17,9,2,0,1,0,0,0,3,64,0.294,0.529,1.353,3.65,-2.73,-0.283,L,7+일,1,1.32,3.0
임기영,2017,10-29,@두산,W 5:1,0,0,23,23,6,1,0,0,0,0,0,6,81,0.261,0.261,0.565,0.00,2.99,0.313,W,7+일,1,1.06,5.2
