Name,Year,Date,Opposite,Score,Batorder,Position,Atbats,Run,Hit,Double,Triple,HR,TotalHit,RBI,SB,SBFail,BB,HBP,IntentionalBB,SO,DoublePlay,SacriHit,SacriFly,AVG,SLG,OPS,Pitches,RE24,WPA,Started,OBP,avLI
최형우,2019,03-23,LG,L 0:2,4,LF,4,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0.000,0.000,0.000,13,-2.34,-0.236,1,0.000,1.37
최형우,2019,03-24,LG,L 3:9,4,LF,4,1,1,0,0,0,1,1,0,0,0,0,0,0,1,0,0,0.125,0.125,0.250,10,-0.76,-0.023,1,,
최형우,2019,03-26,한화,L 7:13,4,LF,3,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0.091,0.091,0.258,24,-0.46,-0.033,1,0.167,0.81
최형우,2019,03-27,한화,W 9:4,4,LF,4,2,1,1,0,0,2,0,0,0,1,0,0,1,0,0,0,0.133,0.200,0.435,19,0.37,0.017,1,,
최형우,2019,03-28,한화,W 6:4,4,DH,4,1,2,1,0,1,6,3,0,0,0,0,0,0,0,0,0,0.211,0.474,0.759,16,1.69,0.113,1,0.286,1.50
최형우,2019,03-29,@KT,L 3:6,4,DH,4,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0.174,0.391,0.631,15,-1.08,-0.112,1,,
최형우,2019,03-30,@KT,L 2:6,4,LF,3,1,2,1,0,0,3,0,0,0,1,0,0,0,0,0,0,0.231,0.462,0.772,17,0.85,0.028,1,0.310,1.01
최형우,2019,03-31,@KT,W 4:2,4,LF,3,0,1,0,0,0,1,2,0,0,0,1,0,0,0,0,0,0.241,0.448,0.782,16,1.69,0.218,1,,
최형우,2019,04-02,@삼성,W 4:1,4,LF,2,1,0,0,0,0,0,0,0,0,3,0,0,1,0,0,0,0.226,0.419,0.788,25,-0.00,0.021,1,0.368,0.54
최형우,2019,04-03,@삼성,L 3:6,4,DH,4,0,2,0,0,0,2,0,0,0,0,0,0,2,0,0,0,0.257,0.429,0.810,15,-0.23,-0.007,1,,
